network_node1	network_node2
G6_Cl_12	G182_Cl_12
G6_Cl_12	G227_Cl_2
G6_Cl_12	G427_Cl_2
G6_Cl_12	G427_Cl_13
G6_Cl_12	G427_Cl_15
G6_Cl_12	G428_Cl_3
G6_Cl_12	G428_Cl_9
G6_Cl_12	G429_Cl_3
G6_Cl_12	G430_Cl_3
G6_Cl_12	G443_Cl_10
G6_Cl_12	G444_Cl_5
G6_Cl_12	G445_Cl_2
G6_Cl_12	G445_Cl_11
G6_Cl_12	G446_Cl_2
G6_Cl_12	G446_Cl_11
G6_Cl_12	G447_Cl_6
G6_Cl_12	G463_Cl_3
G6_Cl_12	G584_Cl_13
G6_Cl_12	G585_Cl_7
G6_Cl_12	G621_Cl_2
G6_Cl_12	G622_Cl_2
G6_Cl_12	G622_Cl_10
G6_Cl_12	G673_Cl_8
G6_Cl_12	G675_Cl_9
G6_Cl_12	G701_Cl_12
G6_Cl_12	G703_Cl_8
G6_Cl_13	G171_Cl_4
G6_Cl_13	G178_Cl_12
G6_Cl_13	G179_Cl_15
G6_Cl_13	G179_Cl_16
G6_Cl_13	G361_Cl_5
G6_Cl_13	G427_Cl_14
G6_Cl_13	G428_Cl_16
G6_Cl_13	G444_Cl_8
G6_Cl_13	G446_Cl_10
G6_Cl_13	G447_Cl_10
G6_Cl_13	G448_Cl_12
G6_Cl_13	G463_Cl_3
G6_Cl_13	G500_Cl_12
G6_Cl_13	G583_Cl_13
G6_Cl_13	G585_Cl_14
G6_Cl_13	G585_Cl_15
G6_Cl_13	G621_Cl_12
G6_Cl_13	G622_Cl_13
G6_Cl_13	G673_Cl_11
G6_Cl_13	G674_Cl_12
G6_Cl_13	G675_Cl_11
G6_Cl_13	G675_Cl_13
G6_Cl_13	G702_Cl_12
G6_Cl_13	G703_Cl_11
G6_Cl_14	G34_Cl_12
G6_Cl_14	G178_Cl_5
G6_Cl_14	G182_Cl_5
G6_Cl_14	G328_Cl_8
G6_Cl_14	G427_Cl_11
G6_Cl_14	G428_Cl_6
G6_Cl_14	G429_Cl_13
G6_Cl_14	G430_Cl_6
G6_Cl_14	G463_Cl_3
G6_Cl_14	G621_Cl_13
G6_Cl_14	G622_Cl_6
G6_Cl_14	G673_Cl_5
G6_Cl_14	G674_Cl_5
G6_Cl_14	G702_Cl_5
G6_Cl_14	G703_Cl_5
G6_Cl_15	G227_Cl_2
G6_Cl_15	G427_Cl_15
G6_Cl_15	G428_Cl_17
G6_Cl_15	G429_Cl_6
G6_Cl_15	G430_Cl_3
G6_Cl_15	G443_Cl_2
G6_Cl_15	G583_Cl_3
G6_Cl_15	G584_Cl_4
G6_Cl_15	G585_Cl_2
G6_Cl_15	G621_Cl_2
G6_Cl_15	G622_Cl_15
